(46982.27,48733.21,55467.26)
(51323.44,55429.87,53060.63)
(54809.01,49432.65,45858.27)
(52489.74,50796.03,55811.19)
(44960.31,46686.46,47944.67)
(45828.92,47684.79,54224.25)
(50753.92,48415.07,43874.48)
(53373.20,51575.16,55171.34)
(53281.82,49258.74,44588.66)
(48987.34,54877.78,53972.93)
(52057.99,54610.93,53886.70)
(55179.95,53651.72,49340.11)
(51923.31,43934.19,49669.60)
(52793.25,48923.01,44375.04)
(49715.20,48173.40,43902.07)
(53931.22,53469.31,46378.99)
(55171.11,46410.19,49012.42)
(45995.40,52153.67,54464.00)
(51308.48,50105.10,43764.68)
(48030.94,50822.45,43995.94)
(55163.14,53732.59,50110.18)
(45063.28,46191.02,48687.44)
(51775.95,55999.78,51204.59)
(48367.61,47837.49,44232.75)
(51088.49,49421.22,43748.39)
(45358.90,52805.51,46654.60)
(56060.13,49732.77,51950.84)
(55012.07,46191.30,50987.58)
(51473.47,48077.73,55893.74)
(49258.61,45671.56,45382.93)
(56060.13,50267.23,48049.16)
(50382.66,46475.30,44705.43)
(47918.04,55921.66,51096.25)
(50304.38,48723.09,56235.32)
(51568.99,50094.37,43824.91)
(49900.60,52323.80,44067.68)
(48164.57,56038.35,49121.39)
(49531.96,48684.50,56217.14)
(48431.01,49905.63,56175.09)
(52124.69,44774.68,47036.20)
(49444.64,49138.51,43710.98)
(53622.27,46681.17,45942.05)
(48030.94,49177.55,56004.06)
(52114.83,44215.53,51633.94)
(46068.78,46530.69,53621.01)
(54362.42,46345.23,52866.06)
(48326.05,47295.72,55521.51)
(50198.23,46918.99,55574.09)
(55865.46,49662.10,47533.30)
(51835.43,43961.65,50878.61)
(47942.01,45389.07,46113.30)
(55039.69,53313.54,52055.33)
(51878.33,46393.91,54906.16)
(46714.25,53143.08,45536.00)
(49246.08,51584.93,56125.52)
(54422.92,52570.14,53799.29)
(50468.04,51315.50,43782.86)
(55155.06,49491.70,53710.71)
(45789.74,46406.61,46843.48)
(55107.04,46214.95,49559.62)
(56372.00,50000.00,50000.00)
(44987.93,53808.70,49012.42)
(50753.23,49521.44,56309.20)
(52099.33,45063.09,53438.33)
(50000.00,49135.22,56313.05)
(47875.31,55225.32,52963.80)
(51012.66,45122.22,46027.07)
(52081.96,44078.34,48903.75)
(46297.01,51871.53,45163.93)
(51543.53,44246.61,47737.61)
(54641.10,47194.49,53345.40)
(47867.84,44620.59,52668.01)
(48333.92,44100.97,51740.11)
(49913.24,47196.68,44278.44)
(49423.64,51003.78,56265.99)
(44844.94,49491.70,53710.71)
(54823.95,46980.47,47133.94)
(48121.67,53606.09,45093.84)
(51183.06,50894.01,43802.94)
(43939.87,49732.77,51950.84)
(54916.12,53137.00,47432.25)
(48456.47,55753.39,52262.39)
(46626.80,48424.84,44828.66)
(50564.17,53941.57,45025.25)
(51969.06,49177.55,56004.06)
(47900.67,54936.91,46561.67)
(50086.76,52803.32,55721.56)
(49154.90,54544.93,45614.59)
(45819.59,49347.34,45235.48)
(48397.61,52416.40,55674.13)
